DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5000	P5010	P5016	P5016S5	P5016S6	P5016S2	P5016S3	P5016S4	P5666	P8526	P5022	P5024	P5030	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU	LLAVEHOG	FEX_C
5000147	1	1	591	1	3	1			1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1			1	1	1	1	2	1	2	1	2	4	1		2	2		2	1	534583.333333333	534583.333333333	534583.333333333	0	50001471	639.705494885682
5000148	1	1	591	1	3	1			1	1	1		1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	2	6	1		2	2		2	1	1235333.33333333	1235333.33333333	1235333.33333333	0	50001481	639.705494885682
5000149	1	1	591	1	3	2			1				1	1	1	2	1	1	2										1	1	2	1	2	1	1	1	1	4	1		2	2		1	3	7741666.66666667	7741666.66666667	2580555.55555556	0	50001491	533.040121850507
5000150	1	1	591	1	2	1						1	1	1	1	1	1	1	2										1	2	2	2	2	2	2	1	2	6	1		2	2		2	1	1200000	1200000	1200000	0	50001501	795.585265390154
5000151	1	1	591	1	3	1					1		1	1	1	2	1	1	1				1	1					1	1	2	2	1	2	2	1	1	6	1		2	2		1	2	3600000	3600000	1800000	0	50001511	485.019531889249
5000152	1	1	591	1	4	1			1	1	1		1	1	1	2	1	1	1		1		1						1	1	1	2	2	1	1	10		6	1		2	2		1	2	3421000	3421000	1710500	0	50001521	485.019531889249
5000153	1	1	591	1	8	2			1	1	1		1	1	1	3	1	1	1		1	1	1	1	1	1			1	1	1	1	1	1	1	1	2	2	1		2	1	7	1	2	5562666.66666667	5562666.66666667	2781333.33333333	0	50001531	578.851563595414
5000157	1	1	591	1	2	1						1	2	2	2	1	1	4	1					1					1	1	2	1	2	1	2	1	2	3	1		4	2		2	2	340000	340000	170000	0	50001571	536.80989594814
5000158	1	1	591	1	3	2			1	1	1		1	2	1	1	1	1	2										1	1	2	1	2	1	2	1	2	1	1		2	2		2	5	1767750	1767750	353550	0	50001581	724.587213916001
5000159	1	1	591	1	7	2			1	1	1		1	1	1	2	1	1	2										1	1	1	1	2	1	2	1	2	6	1		2	2		1	3	1880000	1880000	626666.666666667	0	50001591	673.709499227935
5000160	1	1	591	1	2	2		1	1	1	1		1	1	1	1	1	1	1				1						1	1	2	2	2	1	2	9		6	1		2	2		2	2	2200000	2200000	1100000	0	50001601	716.529598509213
5000163	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	1	2	2	2	2	2	1	2	2	3		2	2		2	4	1522666.66666667	1522666.66666667	380666.666666667	0	50001631	1643.8914967607
5000166	1	1	591	1	5	4				1	1		1	1	1	2	1	1	2										1	1	2	1	2	1	2	1	2	2	3		2	1	7	2	5	1724500	1724500	344900	0	50001661	858.742818318412
5000167	1	1	591	1	3	2			1	1	1		2	1	1	1	1	1	2										1	1	2	1	1	1	2	1	2	1	3		4	1	7	2	7	550000	550000	78571.4285714286	0	50001671	1744.09006286882
5000168	1	1	591	1	3	2				1	1		1	1	1	1	1	1	1		1								1	1	2	1	1	2	2	1	2	1	1		2	2		2	4	2241333.33333333	2241333.33333333	560333.333333333	0	50001681	1427.25633820344
5000169	1	1	591	1	4	1			1	1	1		1	1	1	1	1	1	1			1		1					1	1	1	1	2	1	2	1	2	5	1		2	2		2	2	1556666.66666667	1556666.66666667	778333.333333333	0	50001691	528.919087971255
5000170	1	1	591	1	2	1						1	2	1	1	1	1	1	2										2	1	2	2	2	1	2	10		6	3		4	2		2	3	850000	850000	283333.333333333	0	50001701	673.709499227935
5000172	1	1	591	1	2	1			1	1	1		1	1	1	1	1	1	2										2	1	1	1	2	2	2	1	2	1	1		2	2		2	4	2269500	2269500	567375	0	50001721	787.059998937462
5000173	1	1	591	1	2	1			1	1	1		1	1	1	1	1	1	2										2	1	1	2	2	1	2	1	2	1	1		2	2		2	1	800000	800000	800000	0	50001731	702.686535852624
5000174	1	1	591	1	2	1		1	1	1	1		1	1	1	1	1	1	2										2	1	1	2	2	2	2	1	2	2	1		2	1	7	2	3	211666.666666667	211666.666666667	70555.5555555556	0	50001741	829.572333382044
